TLIST(Q1),Quarter,Type of Offence,VALUE
20133,2013Q3,"Regulated betting/money, collection/trading offences (135)",99
20133,2013Q3,Social code offences (n.e.c.) (136),225
20133,2013Q3,Road and traffic offences (14),22077
20133,2013Q3,"Driving licence-failure to have, produce, etc. (1411)",1065
20133,2013Q3,"Insurance-failure to have, produce, display, etc. (1412)",2366
20133,2013Q3,Vehicle tax/registration offences (142),3516
20133,2013Q3,Roadworthiness/regulatory offences (143),429
20133,2013Q3,Obstruction under Road Traffic Acts (1432),27
20133,2013Q3,Other road offences (1433),12830
20133,2013Q3,Road transport - carriage of goods offences (1441),1519
20133,2013Q3,Public service vehicle offences (1442),322
20133,2013Q3,Light rail offences (Luas) (1443),3
20133,2013Q3,"Offences against government, justice procedures and organisation of crime (15)",2305
20133,2013Q3,Offences against government and its agents (151),67
20133,2013Q3,Organisation of crime and conspiracy to commit crime (152),1
20133,2013Q3,Perverting the course of justice (153),14
20133,2013Q3,"Offences while in custody, breach of court orders (157)",2223
20133,2013Q3,Offences not elsewhere classified (16),588
20134,2013Q4,Homicide & related offences (01),18
20134,2013Q4,Murder (0111),9
20134,2013Q4,Manslaughter (0112),5
20134,2013Q4,Infanticide (0113),0
20134,2013Q4,Dangerous driving leading to death (012),4
20134,2013Q4,Sexual offences (02),422
20134,2013Q4,Rape of a male or female (0211),90
20134,2013Q4,Defilement of a boy or girl less than 17 years old (0212),13
20134,2013Q4,Sexual offence involving mentally impaired person (0213),4
20134,2013Q4,Aggravated sexual assault (0214),4
20134,2013Q4,Sexual assault (not aggravated) (0215),287
20134,2013Q4,Other sexual offences (022),24
20134,2013Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",3580
20134,2013Q4,Murder-attempt (0311),3
20134,2013Q4,Threat to kill or cause serious harm  (0313 ),76
20134,2013Q4,Harassment and related offences (033),352
20134,2013Q4,"Assault causing harm, poisoning (034)",769
20134,2013Q4,Other assault (035),2380
20134,2013Q4,Dangerous or negligent acts (04),11207
20134,2013Q4,Dangerous driving causing serious bodily harm (0411),1
20134,2013Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1769
20134,2013Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),1705
20134,2013Q4,Driving/in charge of a vehicle under the influence of drugs (0413),64
20134,2013Q4,Dangerous/careless driving and motorway offences (0414),1036
20134,2013Q4,Speeding (0415),8307
20134,2013Q4,Endangerment with potential for serious harm/death (0421),17
20134,2013Q4,"Abandoning a child, child neglect and cruelty (0422)",47
20134,2013Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20134,2013Q4,False alarm/interference with aircraft or air transport facilities (0424),1
20134,2013Q4,Endangering traffic offences (0425),29
20134,2013Q4,Kidnapping and related offences (05),30
20134,2013Q4,False imprisonment (0511),17
20134,2013Q4,Abduction of person under 16 years of age (0512),9
20134,2013Q4,Human trafficking offences (0513),4
20134,2013Q4,"Robbery, extortion and hijacking offences (06)",811
20134,2013Q4,Robbery of an establishment or institution (0611),291
20134,2013Q4,Robbery of cash or goods in transit (0612),10
20134,2013Q4,Robbery from the person (0613),485
20134,2013Q4,Blackmail or extortion (0621),5
20134,2013Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",20
20134,2013Q4,Burglary and related offences (07),7412
20134,2013Q4,Aggravated burglary (0711),76
20134,2013Q4,Burglary (not aggravated) (0712),7165
20134,2013Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",171
20134,2013Q4,Theft and related offences (08),19338
20134,2013Q4,Theft/taking of vehicle and related offences (081),1789
20134,2013Q4,Theft from person (0821),1890
20134,2013Q4,Theft from shop (0822),5031
20134,2013Q4,"Other thefts, handling stolen property (084)",10628
20134,2013Q4,"Fraud, deception and related offences (09)",1242
20134,2013Q4,Controlled drug offences (10),3378
20134,2013Q4,Importation of drugs (1011),9
20134,2013Q4,Cultivation or manufacture of drugs (1012),82
20134,2013Q4,Possession of drugs for sale or supply (1021),780
20134,2013Q4,Possession of drugs for personal use (1022),2408
20134,2013Q4,Other drug offences (103),99
20134,2013Q4,Weapons and explosives offences (11),741
20134,2013Q4,"Explosives, chemical weapons offences (111)",12
20134,2013Q4,Discharging a firearm (1121),50
20134,2013Q4,Possession of a firearm (1122),42
20134,2013Q4,Offensive weapons offences (n.e.c.) (113),522
20134,2013Q4,Fireworks offences (114),115
20134,2013Q4,Damage to property and to the environment  offences (12),7246
20134,2013Q4,Arson (1211),506
20134,2013Q4,Criminal damage (not arson) (1212),6675
20134,2013Q4,Litter offences (1221),65
20134,2013Q4,Public order and other social code offences (13),8804
20134,2013Q4,Disorderly conduct (131),7430
20134,2013Q4,Trespass offences (132),699
20134,2013Q4,Liquor licensing offences (133),302
20134,2013Q4,Prostitution offences (134),35
20134,2013Q4,"Regulated betting/money, collection/trading offences (135)",86
20134,2013Q4,Social code offences (n.e.c.) (136),252
20134,2013Q4,Road and traffic offences (14),20907
20134,2013Q4,"Driving licence-failure to have, produce, etc. (1411)",1103
20134,2013Q4,"Insurance-failure to have, produce, display, etc. (1412)",2073
20134,2013Q4,Vehicle tax/registration offences (142),2805
20134,2013Q4,Roadworthiness/regulatory offences (143),606
20134,2013Q4,Obstruction under Road Traffic Acts (1432),15
20134,2013Q4,Other road offences (1433),12605
20134,2013Q4,Road transport - carriage of goods offences (1441),1370
20134,2013Q4,Public service vehicle offences (1442),327
20134,2013Q4,Light rail offences (Luas) (1443),3
20134,2013Q4,"Offences against government, justice procedures and organisation of crime (15)",2282
20134,2013Q4,Offences against government and its agents (151),68
20134,2013Q4,Organisation of crime and conspiracy to commit crime (152),0
20134,2013Q4,Perverting the course of justice (153),14
20134,2013Q4,"Offences while in custody, breach of court orders (157)",2200
20134,2013Q4,Offences not elsewhere classified (16),687
20141,2014Q1,Homicide & related offences (01),34
20141,2014Q1,Murder (0111),14
20141,2014Q1,Manslaughter (0112),8
20141,2014Q1,Infanticide (0113),0
20141,2014Q1,Dangerous driving leading to death (012),12
20141,2014Q1,Sexual offences (02),508
20141,2014Q1,Rape of a male or female (0211),113
20141,2014Q1,Defilement of a boy or girl less than 17 years old (0212),43
20141,2014Q1,Sexual offence involving mentally impaired person (0213),3
20141,2014Q1,Aggravated sexual assault (0214),1
20141,2014Q1,Sexual assault (not aggravated) (0215),317
20141,2014Q1,Other sexual offences (022),31
20141,2014Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",3411
20141,2014Q1,Murder-attempt (0311),4
20141,2014Q1,Threat to kill or cause serious harm  (0313 ),81
20141,2014Q1,Harassment and related offences (033),377
20141,2014Q1,"Assault causing harm, poisoning (034)",707
20141,2014Q1,Other assault (035),2242
20141,2014Q1,Dangerous or negligent acts (04),9730
20141,2014Q1,Dangerous driving causing serious bodily harm (0411),5
20141,2014Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1671
20141,2014Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),1608
20141,2014Q1,Driving/in charge of a vehicle under the influence of drugs (0413),63
20141,2014Q1,Dangerous/careless driving and motorway offences (0414),1032
20141,2014Q1,Speeding (0415),6861
20141,2014Q1,Endangerment with potential for serious harm/death (0421),15
20141,2014Q1,"Abandoning a child, child neglect and cruelty (0422)",110
20141,2014Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20141,2014Q1,False alarm/interference with aircraft or air transport facilities (0424),2
20141,2014Q1,Endangering traffic offences (0425),34
20141,2014Q1,Kidnapping and related offences (05),35
20141,2014Q1,False imprisonment (0511),18
20141,2014Q1,Abduction of person under 16 years of age (0512),7
20141,2014Q1,Human trafficking offences (0513),10
20141,2014Q1,"Robbery, extortion and hijacking offences (06)",759
20141,2014Q1,Robbery of an establishment or institution (0611),282
20141,2014Q1,Robbery of cash or goods in transit (0612),7
20141,2014Q1,Robbery from the person (0613),445
20141,2014Q1,Blackmail or extortion (0621),6
20141,2014Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",19
20141,2014Q1,Burglary and related offences (07),6896
20141,2014Q1,Aggravated burglary (0711),89
20141,2014Q1,Burglary (not aggravated) (0712),6673
20141,2014Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",134
20141,2014Q1,Theft and related offences (08),17840
20141,2014Q1,Theft/taking of vehicle and related offences (081),1948
20141,2014Q1,Theft from person (0821),1413
20141,2014Q1,Theft from shop (0822),4463
20141,2014Q1,"Other thefts, handling stolen property (084)",10016
20141,2014Q1,"Fraud, deception and related offences (09)",1412
20141,2014Q1,Controlled drug offences (10),3648
20141,2014Q1,Importation of drugs (1011),12
20141,2014Q1,Cultivation or manufacture of drugs (1012),68
20141,2014Q1,Possession of drugs for sale or supply (1021),915
20141,2014Q1,Possession of drugs for personal use (1022),2466
20141,2014Q1,Other drug offences (103),187
20141,2014Q1,Weapons and explosives offences (11),557
20141,2014Q1,"Explosives, chemical weapons offences (111)",9
20141,2014Q1,Discharging a firearm (1121),23
20141,2014Q1,Possession of a firearm (1122),44
20141,2014Q1,Offensive weapons offences (n.e.c.) (113),478
20141,2014Q1,Fireworks offences (114),3
20141,2014Q1,Damage to property and to the environment  offences (12),6763
20141,2014Q1,Arson (1211),368
20141,2014Q1,Criminal damage (not arson) (1212),6326
20141,2014Q1,Litter offences (1221),69
20141,2014Q1,Public order and other social code offences (13),7549
20141,2014Q1,Disorderly conduct (131),6334
20141,2014Q1,Trespass offences (132),642
20141,2014Q1,Liquor licensing offences (133),316
20141,2014Q1,Prostitution offences (134),26
20141,2014Q1,"Regulated betting/money, collection/trading offences (135)",62
20141,2014Q1,Social code offences (n.e.c.) (136),169
20141,2014Q1,Road and traffic offences (14),20873
20141,2014Q1,"Driving licence-failure to have, produce, etc. (1411)",1078
20141,2014Q1,"Insurance-failure to have, produce, display, etc. (1412)",2117
20141,2014Q1,Vehicle tax/registration offences (142),2959
20141,2014Q1,Roadworthiness/regulatory offences (143),719
20141,2014Q1,Obstruction under Road Traffic Acts (1432),14
20141,2014Q1,Other road offences (1433),12425
20141,2014Q1,Road transport - carriage of goods offences (1441),1213
20141,2014Q1,Public service vehicle offences (1442),342
20141,2014Q1,Light rail offences (Luas) (1443),6
20141,2014Q1,"Offences against government, justice procedures and organisation of crime (15)",2428
20141,2014Q1,Offences against government and its agents (151),78
20141,2014Q1,Organisation of crime and conspiracy to commit crime (152),3
20141,2014Q1,Perverting the course of justice (153),11
20141,2014Q1,"Offences while in custody, breach of court orders (157)",2336
20141,2014Q1,Offences not elsewhere classified (16),716
20142,2014Q2,Homicide & related offences (01),29
20142,2014Q2,Murder (0111),10
20142,2014Q2,Manslaughter (0112),1
20142,2014Q2,Infanticide (0113),0
20142,2014Q2,Dangerous driving leading to death (012),18
20142,2014Q2,Sexual offences (02),524
20142,2014Q2,Rape of a male or female (0211),140
20142,2014Q2,Defilement of a boy or girl less than 17 years old (0212),33
20142,2014Q2,Sexual offence involving mentally impaired person (0213),2
20142,2014Q2,Aggravated sexual assault (0214),1
20142,2014Q2,Sexual assault (not aggravated) (0215),314
20142,2014Q2,Other sexual offences (022),34
20142,2014Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",3809
20142,2014Q2,Murder-attempt (0311),4
20142,2014Q2,Threat to kill or cause serious harm  (0313 ),93
20142,2014Q2,Harassment and related offences (033),375
20142,2014Q2,"Assault causing harm, poisoning (034)",822
20142,2014Q2,Other assault (035),2515
20142,2014Q2,Dangerous or negligent acts (04),12701
20142,2014Q2,Dangerous driving causing serious bodily harm (0411),4
20142,2014Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1725
20142,2014Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),1648
20142,2014Q2,Driving/in charge of a vehicle under the influence of drugs (0413),77
20142,2014Q2,Dangerous/careless driving and motorway offences (0414),1173
20142,2014Q2,Speeding (0415),9703
20142,2014Q2,Endangerment with potential for serious harm/death (0421),11
20142,2014Q2,"Abandoning a child, child neglect and cruelty (0422)",49
20142,2014Q2,Unseaworthy/dangerous use of boat or ship (0423),0
20142,2014Q2,False alarm/interference with aircraft or air transport facilities (0424),1
20142,2014Q2,Endangering traffic offences (0425),35
20142,2014Q2,Kidnapping and related offences (05),32
20142,2014Q2,False imprisonment (0511),10
20142,2014Q2,Abduction of person under 16 years of age (0512),10
20142,2014Q2,Human trafficking offences (0513),12
20142,2014Q2,"Robbery, extortion and hijacking offences (06)",659
20142,2014Q2,Robbery of an establishment or institution (0611),180
20142,2014Q2,Robbery of cash or goods in transit (0612),5
20142,2014Q2,Robbery from the person (0613),432
20142,2014Q2,Blackmail or extortion (0621),9
20142,2014Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",33
20142,2014Q2,Burglary and related offences (07),5993
20142,2014Q2,Aggravated burglary (0711),61
20142,2014Q2,Burglary (not aggravated) (0712),5750
20142,2014Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",182
20142,2014Q2,Theft and related offences (08),19523
20142,2014Q2,Theft/taking of vehicle and related offences (081),1937
20142,2014Q2,Theft from person (0821),1458
20142,2014Q2,Theft from shop (0822),5327
20142,2014Q2,"Other thefts, handling stolen property (084)",10801
20142,2014Q2,"Fraud, deception and related offences (09)",1223
20142,2014Q2,Controlled drug offences (10),4212
20142,2014Q2,Importation of drugs (1011),9
20142,2014Q2,Cultivation or manufacture of drugs (1012),95
20142,2014Q2,Possession of drugs for sale or supply (1021),905
20142,2014Q2,Possession of drugs for personal use (1022),3019
20142,2014Q2,Other drug offences (103),184
20142,2014Q2,Weapons and explosives offences (11),585
20142,2014Q2,"Explosives, chemical weapons offences (111)",13
20142,2014Q2,Discharging a firearm (1121),38
